Date	IRSA
1994-12-30	13.3467
1995-01-31	11.0803
1995-02-28	9.6952
1995-03-31	9.5693
1995-04-28	11.8357
1995-05-31	12.0246
1995-06-30	11.7098
1995-07-31	12.0246
1995-08-31	11.1432
1995-09-29	12.0875
1995-10-31	10.5766
1995-11-30	11.7683
1995-12-29	13.7973
1996-01-31	15.6235
1996-02-29	14.8119
1996-03-29	15.2177
1996-04-30	16.2322
1996-05-31	17.6525
1996-06-28	18.2612
1996-07-31	15.6235
1996-08-30	14.9471
1996-09-30	16.0293
1996-10-31	16.5027
1996-11-29	17.2727
1996-12-31	17.6906
1997-01-31	20.3372
1997-02-28	20.1283
1997-03-31	20.7551
1997-04-30	19.5014
1997-05-30	21.7998
1997-06-30	24.3768
1997-07-31	24.3071
1997-08-29	24.7599
1997-09-30	24.6554
1997-10-31	18.8049
1997-11-28	17.0289
1997-12-31	21.9635
1998-01-30	18.4594
1998-02-27	20.1573
1998-03-31	22.1441
1998-04-30	22.4692
1998-05-29	20.4824
1998-06-30	16.8339
1998-07-31	21.4939
1998-08-31	13.7272
1998-09-30	12.4267
1998-10-30	14.9554
1998-11-30	16.1836
1998-12-31	16.3973
1999-01-29	13.56
1999-02-26	13.6705
1999-03-31	15.5498
1999-04-30	20.0977
1999-05-31	17.323
1999-06-30	18.5229
1999-07-30	16.9106
1999-08-31	17.398
1999-09-30	16.8731
1999-10-29	18.1105
1999-11-30	19.8534
1999-12-31	20.0865
2000-01-31	19.8534
2000-02-29	20.2807
2000-03-31	19.426
2000-04-28	18.4547
2000-05-31	15.1523
2000-06-30	14.2198
2000-07-31	14.4918
2000-08-31	15.23
2000-09-29	14.4141
2000-10-31	12.9377
2000-11-30	11.9714
2000-12-29	11.3685
2001-01-31	14.0557
2001-02-28	11.7475
2001-03-30	10.1283
2001-04-30	9.2395
2001-05-31	10.0594
2001-06-29	11.0929
2001-07-31	9.5082
2001-08-31	9.646
2001-09-28	6.8831
2001-10-31	5.3398
2001-11-30	3.8791
2001-12-31	4.4027
2002-01-31	3.0661
2002-02-28	3.6862
2002-03-29	3.3072
2002-04-30	3.4795
2002-05-31	3.445
2002-06-28	2.8249
2002-07-31	3.0316
2002-08-30	2.9283
2002-09-30	3.8929
2002-10-31	3.5828
2002-11-29	3.3761
2002-12-31	3.5916
2003-01-31	4.5846
2003-02-28	5.3452
2003-03-31	5.5706
2003-04-30	6.8593
2003-05-30	6.2044
2003-06-30	6.3734
2003-07-31	5.6339
2003-08-29	5.972
2003-09-30	6.479
2003-10-31	7.3241
2003-11-28	6.9368
2003-12-31	7.0424
2004-01-30	7.465
2004-02-27	6.8804
2004-03-31	6.9861
2004-04-30	5.7044
2004-05-31	5.2748
2004-06-30	5.2184
2004-07-30	4.7184
2004-08-31	5.0142
